seq_len,ch_idx
412,30
393,28
382,7
368,27
296,5
245,10
195,22
188,20
183,15
176,3
162,18
161,5
161,31
161,14
160,16
156,2
155,24
154,30
153,28
150,14
147,0
145,25
145,22
145,28
145,14
140,15
140,19
137,12
137,20
133,12
132,7
129,13
129,26
126,26
125,29
125,4
123,5
122,20
121,31
120,7
119,11
119,18
118,17
116,5
118,24
114,24
113,3
111,24
110,13
107,15
107,19
106,5
105,20
103,19
103,14
102,16
101,4
101,8
100,14
100,24
99,12
97,3
97,22
97,7
104,8
94,10
94,9
93,24
93,20
92,14
92,18
91,0
90,7
90,26
90,8
89,17
88,14
88,16
88,28
87,23
87,27
86,10
85,30
91,16
88,30
88,7
86,3
84,21
83,1
82,9
81,6
81,0
81,11
80,2
80,23
80,1
79,3
79,12
79,9
79,24
79,18
78,0
78,13
77,17
77,21
76,25
75,28
77,17
75,26
75,8
75,9
74,25
73,11
73,24
73,26
72,21
72,25
72,27
71,29
71,28
71,22
71,1
71,20
71,13
71,16
70,26
69,6
69,14
67,30
65,5
70,2
67,2
67,22
66,1
66,6
65,2
65,21
64,9
63,22
63,10
62,28
62,6
61,25
61,21
61,8
61,11
60,18
60,23
60,15
60,30
60,6
60,25
59,8
58,18
58,23
58,15
57,31
57,30
57,5
66,27
60,19
60,27
57,17
55,27
55,1
55,13
55,0
54,11
54,12
54,19
53,27
52,11
52,25
51,15
51,17
51,19
51,28
51,29
50,6
50,2
50,12
50,23
50,25
50,9
49,8
49,17
49,19
49,18
48,14
48,31
48,24
53,10
52,10
50,26
47,4
46,4
46,21
46,13
46,0
45,26
45,8
45,29
45,4
45,22
45,1
45,13
44,0
44,6
44,10
43,26
43,8
42,12
42,31
42,4
42,3
42,30
42,7
42,1
42,11
41,21
41,13
41,19
40,0
40,6
40,10
40,26
40,2
39,12
39,20
39,4
39,3
38,14
38,22
47,27
41,27
41,1
39,21
39,9
38,15
38,20
38,27
35,1
34,6
33,23
33,4
32,18
32,20
32,27
31,16
31,30
31,5
31,21
30,6
30,13
30,19
29,25
29,11
29,0
29,23
29,4
29,12
28,8
27,18
27,20
27,27
27,31
27,22
26,16
25,5
24,7
32,29
28,21
27,9
27,17
27,29
26,2
26,16
26,18
25,22
24,3
24,7
23,9
23,29
23,8
23,11
22,13
22,2
22,16
22,18
22,23
22,26
22,12
22,10
21,15
21,3
21,30
21,24
21,5
21,7
20,28
20,21
20,1
20,9
20,17
20,8
20,11
20,0
20,16
20,18
19,22
19,23
19,26
19,4
19,12
19,25
19,10
18,15
18,20
18,31
17,30
17,24
17,5
17,7
17,14
16,28
24,29
20,31
20,29
19,31
18,29
18,23
18,31
18,17
17,2
17,19
17,15
16,3
16,29
16,23
15,9
15,11
15,31
15,4
14,6
14,17
14,1
14,16
14,0
13,2
13,25
13,13
13,19
13,10
12,15
12,3
12,28
12,29
12,23
12,9
12,11
11,31
11,4
11,6
11,17
11,21
11,1
11,16
10,0
10,2
10,25
10,13
10,19
10,10
10,15
9,3
9,12
9,22
8,20
8,24
7,30
7,5
7,7
5,14
5,28
