seq_len,ch_idx
587,22
532,11
268,31
254,5
234,30
235,27
220,11
209,25
202,13
191,23
187,25
184,4
165,25
165,22
162,23
156,5
160,11
164,17
162,28
164,30
158,16
154,4
159,4
151,8
152,10
146,23
151,10
149,0
140,17
143,21
155,3
144,6
145,22
145,1
128,5
132,21
131,6
122,23
129,2
127,19
118,21
119,22
120,15
117,16
124,31
119,5
118,11
114,14
107,21
109,28
118,30
108,5
113,6
107,7
111,9
118,17
115,28
111,30
116,3
108,5
113,7
114,14
118,19
112,20
110,29
101,0
106,8
98,10
111,12
100,15
103,16
98,23
98,27
102,28
106,31
100,1
106,4
112,11
98,13
104,21
99,25
101,6
100,11
99,15
102,21
101,22
100,23
92,26
90,0
91,13
89,16
91,18
87,19
93,20
90,22
96,27
88,30
93,31
92,2
91,3
91,14
89,15
89,18
87,21
92,23
93,25
92,27
90,29
95,30
100,0
88,4
91,8
92,10
87,11
96,12
83,19
91,20
89,21
77,22
82,24
77,25
84,27
78,28
80,29
85,3
79,4
87,6
76,7
79,12
87,14
83,17
79,21
78,23
75,29
87,1
81,2
81,5
82,6
80,7
78,9
82,11
83,15
82,16
82,23
81,24
84,27
80,30
78,0
93,4
79,5
67,10
77,11
72,12
73,14
74,15
73,22
71,23
71,24
70,31
68,0
68,1
73,5
84,6
71,8
77,9
69,11
68,21
73,23
66,30
73,0
76,2
68,3
74,4
68,15
70,17
70,20
70,22
68,23
77,24
83,25
69,27
68,30
68,1
71,5
64,7
60,8
64,11
67,12
66,17
63,18
61,19
69,21
65,24
58,30
63,31
61,1
57,5
66,8
60,10
68,17
60,18
68,19
58,20
61,24
65,25
58,30
62,3
63,5
57,6
64,7
61,8
70,10
61,13
59,22
64,24
55,27
66,31
51,0
52,1
48,3
51,4
54,5
52,6
49,7
49,14
52,17
54,21
52,22
51,23
54,25
47,29
51,30
46,0
52,1
55,2
48,3
54,5
47,7
56,9
49,10
51,12
54,13
52,14
49,16
45,18
52,23
53,24
52,28
48,29
51,31
50,1
50,2
52,4
53,5
49,9
53,10
52,11
50,13
47,14
52,16
50,17
51,18
37,22
42,23
49,24
39,29
42,30
44,0
38,2
42,5
39,8
39,9
36,10
45,11
43,13
43,15
40,17
46,20
40,22
41,23
41,25
46,27
37,28
41,31
40,3
44,4
41,6
40,7
41,8
38,10
37,12
41,13
40,14
43,15
38,16
41,17
41,21
45,22
45,23
40,24
47,25
42,27
40,31
37,1
42,2
48,3
47,7
40,9
42,10
38,11
44,12
26,13
33,15
30,16
29,17
30,18
29,21
37,23
34,24
35,28
34,0
38,1
31,2
31,3
25,4
31,6
27,8
28,9
38,12
26,13
27,15
37,19
30,21
26,22
31,24
31,25
30,26
31,28
34,29
30,30
32,31
31,1
31,2
37,3
30,4
30,5
29,6
26,7
27,8
34,10
30,11
34,12
26,13
35,14
23,19
21,21
18,22
24,23
22,25
20,26
23,27
17,28
26,29
21,30
18,31
27,0
19,1
17,2
18,3
22,4
22,5
41,6
18,9
15,11
21,12
21,13
22,14
21,15
19,17
22,18
23,19
18,20
28,21
24,22
18,23
23,24
28,25
22,26
25,27
21,28
25,29
23,30
22,0
21,1
19,2
30,3
24,4
18,5
19,6
19,7
18,8
28,10
18,11
19,13
21,14
22,15
23,16
21,17
18,21
16,23
22,25
21,26
18,27
23,28
26,29
19,30
19,31
21,0
27,1
43,2
27,3
19,4
24,5
19,6
24,7
4,8
9,9
14,10
12,11
11,12
12,13
7,14
19,15
6,16
8,17
13,18
10,19
12,20
11,21
9,22
20,23
11,24
18,25
12,26
11,27
13,28
12,29
11,30
10,31
16,0
9,1
16,2
13,3
9,4
9,5
7,6
10,7
16,8
15,9
11,10
17,11
6,12
9,13
15,14
9,15
16,16
20,17
15,18
7,19
11,20
14,21
12,22
7,23
11,24
15,25
10,26
12,27
14,28
12,29
15,30
16,31
12,0
11,1
13,2
15,3
5,4
11,5
10,6
14,7
16,8
10,9
11,10
10,11
8,12
15,13
12,14
12,15
12,16
13,17
10,18
9,19
11,20
13,21
5,22
9,23
8,24
12,25
11,26
7,27
10,28
28,29
9,30
