seq_len,ch_idx
2048,12
2048,10
1423,2
994,18
914,27
909,13
887,29
833,11
784,22
1412,2
713,9
659,24
622,18
632,27
644,31
602,6
1090,20
597,24
990,8
558,10
559,18
534,20
716,7
506,9
525,17
489,23
502,1
472,5
469,10
1243,12
474,21
431,7
436,10
466,11
437,19
914,21
428,22
443,24
476,25
411,9
1178,17
405,18
393,28
381,29
392,4
400,5
365,11
353,18
349,21
432,22
491,28
334,0
352,2
381,5
324,9
311,11
322,14
308,19
346,20
396,21
309,22
302,24
336,25
304,26
741,27
296,31
300,0
316,1
2048,5
292,7
300,9
297,11
473,12
291,14
276,20
1307,21
309,26
330,30
274,31
288,0
266,2
262,3
290,4
406,8
275,9
255,10
260,11
280,16
304,17
245,21
253,22
252,24
234,26
245,27
267,28
238,29
261,30
271,0
255,1
243,3
291,4
232,5
238,6
309,9
240,10
255,11
222,12
221,13
211,15
211,16
238,17
282,19
244,20
313,21
212,22
224,23
251,25
371,27
210,28
218,29
256,30
204,1
199,2
211,4
206,5
238,7
187,8
218,9
216,10
308,12
183,15
1087,17
178,18
192,19
195,20
178,21
175,22
167,24
175,25
162,26
169,27
165,28
527,30
166,31
178,0
167,1
157,2
180,3
173,5
157,7
143,8
155,9
172,10
157,11
154,12
154,13
352,15
132,16
138,17
792,18
137,19
145,21
182,22
156,24
170,25
203,26
130,28
128,31
116,0
129,1
121,2
140,3
120,4
115,5
715,6
166,7
737,8
143,9
109,10
108,11
212,12
117,14
150,15
105,16
101,17
143,18
99,19
112,21
106,22
102,24
95,27
89,28
96,29
180,30
359,31
88,0
467,1
93,2
136,3
2048,4
61,5
755,6
87,8
67,9
66,10
67,11
61,12
129,13
58,14
66,15
99,16
55,17
62,18
70,19
54,20
62,21
139,22
42,23
50,24
59,25
229,26
57,27
41,28
69,29
106,30
190,31
59,0
103,1
53,2
47,3
123,4
81,5
43,6
47,7
73,8
34,9
88,10
231,11
136,12
21,13
28,14
137,15
29,16
77,17
95,18
40,19
22,20
20,21
28,22
37,23
79,24
26,25
12,26
51,27
11,28
26,29
