seq_len,ch_idx
2048,20
2048,24
1578,24
971,0
954,21
983,1
793,27
772,12
1000,22
751,18
729,16
1894,28
732,12
691,18
682,18
1667,5
674,11
649,30
725,13
621,13
618,29
593,9
633,26
593,11
617,0
587,21
560,21
541,14
573,13
561,18
633,15
555,9
520,9
516,3
502,13
1175,23
623,16
500,27
489,26
2048,10
474,1
470,13
465,28
467,19
465,11
441,17
2048,7
447,22
430,3
2048,23
434,21
421,25
409,13
407,14
797,8
454,8
430,2
417,8
415,2
409,15
465,2
441,16
419,15
401,2
381,27
512,15
454,27
391,15
388,27
916,18
370,16
370,4
368,17
367,18
361,2
368,14
363,19
393,20
376,10
347,10
553,15
351,3
349,29
344,15
343,3
334,17
392,25
332,25
331,4
328,1
509,2
427,3
330,2
326,22
316,24
311,30
311,29
450,5
430,5
338,5
336,5
329,12
324,4
323,31
320,27
317,1
313,17
312,10
311,12
2048,22
304,3
443,6
329,11
318,4
299,14
304,31
293,6
289,31
289,9
282,6
979,18
315,18
280,1
266,3
261,27
403,30
290,0
266,13
256,6
253,27
746,28
345,28
253,14
415,24
274,24
266,26
256,28
252,24
249,26
246,16
240,24
563,31
337,13
260,26
247,0
244,31
232,5
228,3
325,2
287,17
285,2
244,19
241,11
229,8
226,5
225,2
224,19
221,31
221,30
220,8
219,5
218,9
215,7
211,17
288,30
217,30
213,15
208,21
207,11
499,26
265,26
210,13
203,8
201,13
201,1
198,17
198,2
197,26
196,23
204,30
196,30
193,29
191,23
190,30
188,29
187,0
186,10
186,28
182,5
182,23
482,11
195,1
191,0
189,16
180,29
179,1
177,0
177,16
176,21
174,30
173,11
729,31
182,20
177,24
173,22
173,29
171,12
169,28
168,19
167,4
163,22
441,1
202,17
196,1
180,4
178,17
173,11
166,8
164,4
161,19
160,28
157,15
460,6
168,0
168,6
165,10
147,0
743,9
188,4
172,0
156,6
154,31
153,12
145,10
143,16
139,13
139,22
139,20
131,9
189,4
144,11
142,16
139,19
135,20
135,9
134,14
130,7
126,6
124,29
123,30
164,21
130,0
124,31
111,21
331,31
204,26
146,12
137,4
137,31
126,26
124,12
121,19
117,2
117,1
115,8
115,25
106,23
105,4
101,6
1207,19
132,16
104,20
98,9
97,4
96,7
92,31
127,26
119,14
109,26
101,2
92,14
89,6
83,30
572,7
126,25
99,9
89,13
86,22
84,7
80,4
78,24
77,26
76,16
154,20
99,9
98,1
95,2
76,20
68,15
67,14
66,6
279,23
236,25
67,23
64,6
58,9
1021,27
609,12
104,25
99,22
76,29
74,1
72,17
71,25
66,7
61,8
58,10
58,23
57,22
55,4
51,27
49,29
48,31
47,16
45,1
45,12
43,17
43,14
43,25
725,29
176,5
82,29
74,14
67,11
67,8
56,10
55,20
48,21
47,5
44,6
42,29
41,14
37,30
33,25
31,0
99,7
85,8
60,21
50,7
47,15
41,3
37,8
35,21
33,7
29,20
22,15
379,25
142,25
126,19
125,25
95,19
34,27
29,14
27,25
24,8
21,20
20,19
20,11
17,10
17,28
16,3
13,14
11,25
567,17
78,3
41,3
34,6
29,3
16,17
15,12
11,10
10,28
7,27
6,6
